brand_name,title,price,price_discount,link,images
BSC,Lock It Fit Fix Perfecting Powder SPF30 PA++,฿550,฿468,/product/detail/lock-it-fit-fix-perfecting-powder-spf30-pa--?product_id=8852525945883&sku_id=8852525945883,https://prodenbcdn.azureedge.net/products/8852525945883/main/320/60642c4683d2cc0eb5374aa5.webp
BOBBI BROWN,Monopoly Sheer Finish Pressed Powder,"฿1,850","฿1,665",/product/detail/monopoly-sheer-finish-pressed-powder?product_id=716170277776&sku_id=716170277776,https://prodenbcdn.azureedge.net/products/716170277776/main/320/61b957aecc0e8967141d2edd.webp
ZENN,Pressed Powder,฿349,฿245,/product/detail/pressed-powder?product_id=8857125257404&sku_id=8857125257381,https://prodenbcdn.azureedge.net/products/8857125257381/main/320/6064307583d2cc5ac8375bfc.webp
ESSENCE,My Skin Perfector Loose Fixing Powder,,฿195,/product/detail/my-skin-perfector-loose-fixing-powder?product_id=4059729255112&sku_id=4059729255112,https://prodenbcdn.azureedge.net/products/4059729255112/main/320/60d974c6b78d7c1511eed3ac.webp
BSC,Lock It Fit Fix Perfecting Powder SPF30 PA++,฿550,฿468,/product/detail/lock-it-fit-fix-perfecting-powder-spf30-pa--?product_id=8852525945869&sku_id=8852525945869,https://prodenbcdn.azureedge.net/products/8852525945869/main/320/60642c457f3255594b23345f.webp
SHISEIDO,Synchro Skin Invisible Silk Pressed Powder,"฿1,500","฿1,350",/product/detail/synchro-skin-invisible-silk-pressed-powder?product_id=730852161290&sku_id=730852161290,https://prodenbcdn.azureedge.net/products/730852161290/main/320/611f7285993bf1728d67d812.webp
BSC,Lock It Fit Fix Perfecting Powder SPF30 PA++,฿550,฿468,/product/detail/lock-it-fit-fix-perfecting-powder-spf30-pa--?product_id=8852525945906&sku_id=8852525945906,https://prodenbcdn.azureedge.net/products/8852525945906/main/320/60642c477f32550ebc233466.webp
CANMAKE,Bogo Secret Beauty Powder,,฿350,/product/detail/bogo-secret-beauty-powder?product_id=8859429800706&sku_id=8859429800706,https://prodenbcdn.azureedge.net/products/8859429800706/main/320/612f07e3612849273690e6c8.webp
BSC,Lock It Fit Fix Perfecting Powder SPF30 PA++ (Refill),,฿495,/product/detail/lock-it-fit-fix-perfecting-powder-spf30-pa----refill-?product_id=8852525945920&sku_id=8852525945920,https://prodenbcdn.azureedge.net/products/8852525945920/main/320/60642c487f32551d64233467.webp
ODBO,Airy Two Way Power SPF30++,฿299,฿159,/product/detail/airy-two-way-power-spf30--?product_id=8858910626504&sku_id=8858910626504,https://prodenbcdn.azureedge.net/products/8858910626504/main/320/616d3c2b98694d44620a2ca8.webp
IN2IT,Face Poppin Blur Pressed Powder,฿179,฿161.10,/product/detail/face-poppin-blur-pressed-powder?product_id=8858000022452&sku_id=8858000022674,https://prodenbcdn.azureedge.net/products/8858000022674/main/320/611ca61f96306d3ad93ae4b1.webp
DR.SOMCHAI,Acne Blemish Pressed Powder,,฿259,/product/detail/acne-blemish-pressed-powder?product_id=8850710014406&sku_id=8850710014406,https://prodenbcdn.azureedge.net/products/8850710014406/main/320/60e3d151a98acb7bbdf95180.webp
SHEENE,Oil Free Cake Powder Spf 25 Pa++ (Refill+Refill),฿159,฿143,/product/detail/oil-free-cake-powder-spf-25-pa----refill-refill-?product_id=8852525961456&sku_id=8852525961456,https://prodenbcdn.azureedge.net/products/8852525961456/main/320/619cb53876e6026ae5c320c9.webp
IN2IT,Foundation Powder,"฿2,800","฿2,520",/product/detail/foundation-powder?product_id=8858000022964&sku_id=8858928606468,https://prodenbcdn.azureedge.net/products/8858928606468/thumbnail_640_100.png
MADELYN,Wonder Powder Foundation Natural Beige SPF 30 PA++++,฿399,฿349,/product/detail/wonder-powder-foundation-natural-beige-spf-30-pa----?product_id=8859488910606&sku_id=8859488910606,https://prodenbcdn.azureedge.net/products/8859488910606/main/320/6108bcd24c3ba94a1aea0238.webp
WET N WILD,Photo Focus Pressed Powder,,฿390,/product/detail/photo-focus-pressed-powder?product_id=4049775582256&sku_id=4049775582256,https://prodenbcdn.azureedge.net/products/4049775582256/main/320/611e3af44bc1ab3abf511f92.webp
CANMAKE,Bogo Marshmallow Free Refill,,฿450,/product/detail/bogo-marshmallow-free-refill?product_id=8859429800539&sku_id=8859429800539,https://prodenbcdn.azureedge.net/products/8859429800539/main/320/60f1e3a023304b1690beb255.webp
WET N WILD,Cover All Pressed Powder,,฿199,/product/detail/cover-all-pressed-powder?product_id=4049775582225&sku_id=4049775582225,https://prodenbcdn.azureedge.net/products/4049775582225/main/320/61209142f6306b2f611b19bd.webp
